Country Code,Country Name,Continent Code,AG.LND.ARBL.ZS,AG.LND.PRCP.MM,BN.CAB.XOKA.GD.ZS,CM.MKT.LCAP.GD.ZS,EG.GDP.PUSE.KO.PP,EN.POP.DNST,FB.BNK.CAPA.ZS,FR.INR.RINR,GC.NLD.TOTL.GD.ZS,IC.FRM.BRIB.ZS,IC.IMP.TMDC
DJI,Djibouti,AF,0.086281277,220,-18.46469979,0,0,39.43024159,5.168963483,0,0,11.1,50
DMA,Dominica,NO,8,2083,-6.812461586,0,0,94.91066667,3.999387824,2.511630656,0,5.8,24
DNK,Denmark,EU,56.0371517,703,8.244292946,0,17.41753972,135.3532508,7.790802433,0,-1.549188845,0,1
DOM,Dominican Republic,NO,16.55971848,1410,-1.86084458,0,0,212.8271579,9.057908619,14.14522061,0.263972244,16.3,38
DZA,Algeria,AF,3.13304563,89,-16.28976556,0.086769704,0,16.68025267,8.826316181,15.52391906,0,0,249
ECU,Ecuador,SA,4.297793624,2274,-2.239232859,0,0,65.27629248,13.04051875,0,0,5.9,120
EGY,Egypt,AF,2.878678063,51,-5.182867908,16.58917793,0,92.86508313,0,1.54106846,-10.72756659,17.4,265
ERI,Eritrea,AF,6.831683168,384,0,0,0,0,0,0,0,0,0
ESP,Spain,EU,24.57309925,636,1.148847657,65.64945987,13.62258132,92.95268301,7.443005041,0,-2.760540713,0,1
EST,Estonia,EU,15.52795031,626,1.832635617,0,6.9999192,30.26011042,10.75402971,0,-0.182064613,5.7,1
ETH,Ethiopia,AF,15.119,848,-11.6514616,0,0,100.835458,0,0,-3.12338797,26.8,209
FIN,Finland,EU,7.37817133,536,-0.722132815,0,7.126260701,18.03011089,5.601509764,0,-2.099527511,0,1
FJI,Fiji,OC,9.031198686,2592,-3.802671809,0,0,47.5438971,8.521659412,3.338519122,-1.975011027,10.5,34
FRA,France,EU,33.74753584,867,-0.374464352,85.64968201,11.06736561,121.6190587,5.793969848,0,-3.620534999,0,1
FRO,Faroe Islands,EU,2.148997041,0,0,0,0,34.4204856,0,0,0,0,0
GAB,Gabon,AF,1.261303217,1831,0.980682965,0,0,7.558838825,9.34746366,0,-2.294742774,23.2,120
GBR,United Kingdom,EU,24.84602984,1220,-4.911138754,0,15.21100675,269.2053941,6.838229264,0,-4.163697445,0,2
GEO,Georgia,EU,5.291409011,1026,-12.62497557,0,0,65.17505861,13.95858565,6.234822037,-1.197584048,2.2,24
GHA,Ghana,AF,20.65570889,1187,-5.74122377,0,0,122.3925683,14.52916368,0,-9.294707912,18.7,546
GIB,Gibraltar,EU,0,0,0,0,0,3373.6,0,0,0,0,0
GIN,Guinea,AF,12.61598567,1651,-11.60079777,0,0,46.52485756,10.55545127,0,0,7.9,156
GMB,The Gambia,AF,43.47826087,836,-7.113569991,0,0,206.1126482,14.82830714,0,0,9.2,32
GNB,Guinea-Bissau,AF,10.6685633,1577,1.998634463,0,0,61.77816501,0,-6.197768724,0,0,36
GNQ,Equatorial Guinea,AF,4.278074866,2156,0,0,0,41.66017825,13.34758852,0,-3.349214384,0,240
GRC,Greece,EU,16.84251358,652,-0.81770585,21.40459343,12.32889497,83.94788984,9.994418654,0,-5.884630909,5.5,1
GRD,Grenada,NO,8.823529412,2350,-11.0210608,0,0,322.35,5.098056115,6.035651892,0,6.6,44
GRL,Greenland,NO,0.002192715,0,0,0,0,0.136713363,0,0,0,0,0
GTM,Guatemala,NO,8.044046286,1996,-0.151174034,0,0,151.6650709,6.863193181,9.683699183,-1.436822533,11.3,56
GUM,Guam,OC,1.851851852,0,0,0,0,299.7277778,0,0,0,0,0
GUY,Guyana,SA,2.133604267,2387,-1.214248462,0,0,3.898562357,0,12.02039158,0,14.9,156
HKG,"Hong Kong SAR, China",AS,2.952380862,0,3.317584187,1029.425587,0,6944.095238,9.47,1.308773807,0,0,1
HND,Honduras,NO,9.116096166,1976,-4.695576322,0,0,81.44531236,10.49417079,12.83497683,-0.859334596,8.7,72
HRV,Croatia,EU,15.08398813,1113,5.031527645,37.18667071,0,75.11801287,12.6826346,0,-3.499434022,3.9,1
HTI,Haiti,NO,38.82438316,1440,-3.103572033,0,0,388.0820755,0,5.655663407,0,0,30
HUN,Hungary,EU,47.76317243,589,2.727244256,14.37097736,10.83395101,108.7266983,0,0.978208772,-2.078061244,2.1,1
IDN,Indonesia,AS,12.97217331,2702,-2.035041922,41.03725644,0,142.6294628,13.60586963,8.349910635,-2.593548137,30.6,144
IMN,Isle of Man,EU,40.70175572,0,0,0,0,146.0245614,0,0,0,0,0
IND,India,AS,52.62462204,1083,-1.067549349,72.07765229,0,440.6554586,7.212821163,7.556488414,-2.77580962,22.7,63.3
IRL,Ireland,EU,6.575700392,1118,10.87962863,43.97531866,24.45481836,68.25311366,13.97379448,0,-2.125173077,0,1
IRN,Iran,AS,9.017289226,228,0,23.17542256,0,48.19139407,0,13.72186322,0,0,206
IRQ,Iraq,AS,11.5173403,216,-1.555964146,0,0,81.93956704,0,51.95196211,-5.647632659,37.3,176
ISL,Iceland,EU,1.206982544,1940,5.120581763,0,2.787825251,3.299900249,0,1.88099821,-0.211122623,0,3
ISR,Israel,AS,13.73382681,435,5.320284204,81.17384045,12.78478723,387.2504621,7.058001664,0.782449766,-1.251747166,0.1,44
ITA,Italy,EU,22.44169443,832,1.333877628,0,14.8428961,206.4682872,6.185530291,3.166631243,-3.003537226,0,1
JAM,Jamaica,NO,11.08033241,2051,-3.040556222,0,0,266.945614,0,9.665986446,-0.294301639,19.3,72
JOR,Jordan,AS,2.56701953,111,-8.969889396,67.03476482,0,104.3768304,0,5.616567063,-3.442421991,12.7,55
