Country Code,Country Name,Continent Code,BN.CAB.XOKA.GD.ZS,EG.ELC.ACCS.ZS,IC.FRM.BRIB.ZS,IT.NET.USER.ZS
,,,Current account balance (% of GDP),Access to electricity (% of population),Bribery incidence (% of firms experiencing at least one bribe payment request),Individuals using the Internet (% of population)
LKA,Sri Lanka,AS,-2.335829734,93.97186279,10,29.98873755
LSO,Lesotho,AF,-3.092810371,29.96918678,14.6,25
LTU,Lithuania,EU,-2.279237588,100,7.2,71.378
LUX,Luxembourg,EU,5.155256513,100,,96.38
LVA,Latvia,EU,-0.482929386,100,3.5,79.2006
MAC,"Macao SAR, China",AS,25.3169753,100,,77.60013186
MAR,Morocco,AF,-2.135501854,99.68045044,37.2,57.08
MDA,Moldova,EU,-5.975805764,100,17.8,69
MDG,Madagascar,AF,-2.788071553,20.00931168,11.6,4.17397219
MDV,Maldives,AS,-7.341580175,99.82239532,,54.46195515
MEX,Mexico,NO,-2.60489289,99,17.6,57.43104299
MHL,Marshall Islands,OC,-3.913365522,92.67192841,,19.2824418
MKD,North Macedonia,EU,-1.913378265,100,7.5,70.3802
MLI,Mali,AF,-5.32405555,37.6,27.3,10.33
MLT,Malta,EU,2.807660254,100,,75.96
MMR,Myanmar,AS,-4.754229419,60.5,29.3,21.72583401
MNE,Montenegro,EU,-10.92192764,100,3.3,68.11958104
MNG,Mongolia,AS,-8.07222151,82.73771667,30.5,22.2657705
MOZ,Mozambique,AF,-40.32763542,24,21.1,16.93353299
MRT,Mauritania,AF,-19.78142696,39.5,28.9,15.19912669
MUS,Mauritius,AF,-3.566320387,97.91174316,3.9,50.13931848
MWI,Malawi,AF,-14.59614277,10.8,13.7,9.298148347
MYS,Malaysia,AS,3.056785339,100,28.2,71.06406781
NAM,Namibia,AF,-13.7171839,49.56013489,9.1,25.68785182
NER,Niger,AF,-20.58308722,16.6,7.8,2.476219975
NGA,Nigeria,AF,-3.238922043,52.5,28.9,24.5
NIC,Nicaragua,NO,-8.974879438,83.62575531,6.5,19.7042915
NLD,Netherlands,EU,6.337834713,100,,91.72413793
NOR,Norway,EU,8.044619468,100,,96.8103
NPL,Nepal,AS,11.42706356,86.65527344,14.4,17.58161801
NZL,New Zealand,OC,-2.746701139,100,,88.22288882
OMN,Oman,AS,-15.8934517,100,,73.53
PAK,Pakistan,AS,-1.026034795,71.19741058,30.8,14
PAN,Panama,NO,-8.963297511,94.9175415,7.1,51.20542499
PER,Peru,SA,-4.832176815,93.852179,15.9,40.9
PHL,Philippines,AS,2.481666916,89.08,17.2,53.7
PLW,Palau,OC,-8.271561451,99.49891663,,0
PNG,Papua New Guinea,OC,20.87372104,44.54552841,26.4,7.9
POL,Poland,EU,-0.556768393,100,1.9,67.997
PRK,Dem. People's Rep. Korea,AS,,39.56709671,,0
PRT,Portugal,EU,0.117932418,100,,68.6329
